Representative,Chimeric.Count,Chimeric.Percentage
AAV.100108_57,5,20.83
AAV.100042_29,2,8.33
AAV.100121_51,2,8.33
AAV.100015_1,2,8.33
AAV.100129_31,2,8.33
AAV.100271_10,2,8.33
AAV.100277_65,2,8.33
AAV.100172_36,1,4.17
AAV.100145_83,1,4.17
AAV.100085_4,1,4.17
AAV.100176_9,1,4.17
AAV.100025_22,1,4.17
AAV.100037_50,1,4.17
AAV.100231_16,1,4.17
