@AAV.100172_36/ORF/1-2181/2181/+_10025
@AAV.100172_36/ORF/1-2181/2181/+_10053
@AAV.100172_36/ORF/1-2181/2181/+_10080
@AAV.100172_36/ORF/1-2181/2181/+_10110
