,Chimeric.Count,Enriched1_HDFplusRT.Count,Enriched1_LonzaDCplusRT.Count
AAV.161109,0.225596648403567,0,0
AAV.177756,0.225596648403567,0,0
AAV.181462,0.225596648403567,0,0
AAV.106826,0.225596648403567,0,0
AAV.117112,0.225596648403567,0,0
AAV.131635,0.225596648403567,0,0
AAV.110461,0.225596648403567,0,0
AAV.186887,0.225596648403567,0,0
AAV.149039,0.225596648403567,0,0
AAV.150466,0.225596648403567,0,0
AAV.163235,0.225596648403567,0,0
AAV.123218,0.225596648403567,0,0
AAV.162122,0.225596648403567,0,0
AAV.144854,0.225596648403567,0,0
AAV.120618,0.225596648403567,0,0
AAV.145421,0.225596648403567,0,0
AAV.182213,0.225596648403567,0,0
AAV.106308,0.225596648403567,0,0
AAV.174665,0.225596648403567,0,0
AAV.181606,0.225596648403567,0,0
AAV.108567,0.225596648403567,0,0
AAV.182389,0.225596648403567,0,0
AAV.111325,0.225596648403567,0,0
AAV.125415,0.225596648403567,0,0
AAV.172305,0.225596648403567,0,0
AAV.110099,0.225596648403567,0,0
AAV.127671,0.225596648403567,0,0
AAV.158741,0.225596648403567,0,0
AAV.115309,0.225596648403567,0,0
AAV.123793,0.225596648403567,0,0
AAV.104620,0.225596648403567,0,0
AAV.150516,0.225596648403567,0,0
AAV.171728,0.225596648403567,0,0
AAV.165501,0.225596648403567,0,0
AAV.126145,0.225596648403567,0,0
AAV.183213,0.225596648403567,0,0
AAV.134382,0.225596648403567,0,0
AAV.178874,0.225596648403567,0,0
AAV.123227,0.225596648403567,0,0
AAV.127446,0.225596648403567,0,0
AAV.117941,0.225596648403567,0,0
AAV.110886,0.225596648403567,0,0
AAV.134439,0.225596648403567,0,0
AAV.127314,0.225596648403567,0,0
AAV.114374,0.225596648403567,0,0
AAV.178444,0.225596648403567,0,0
