AAV.100009_10
AAV.100144_13
AAV.100273_34
AAV.100231_6
AAV.100063_6
AAV.100080_66
AAV.100096_58
AAV.100165_1
AAV.100077_52
AAV.100106_20
AAV.100062_1
AAV.100038_9
AAV.100238_44
AAV.100226_6
AAV.100008_37
AAV.100244_40
AAV.100130_94
AAV.100224_7
AAV.100112_24
AAV.100158_1
