,Freq,Freq(%)
AAV2,12656,26.32
AAV6,8670,18.03
AAVrh8,8344,17.35
AAV13,3786,7.87
AAV8,3390,7.05
AAV5,2850,5.93
AAV1,2600,5.41
AAV9,2001,4.16
AAV3,1266,2.63
multiple alignment,1010,2.1
AAV7,896,1.86
AAVrh10,610,1.27
no alignment,0,0
AAV4,0,0
AAV10,0,0
AAV11,0,0
AAV12,2,0
AAVrh32,0,0
